title,author,year,text,source,word_count,contains_misinformation_indicators
The structure of the climate debate,"
Richard S. J. Tol
",2016,"  First-best climate policy is a uniform carbon tax which gradually rises over
time. Civil servants have complicated climate policy to expand bureaucracies,
politicians to create rents. Environmentalists have exaggerated climate change
to gain influence, other activists have joined the climate bandwagon. Opponents
to climate policy have attacked the weaknesses in climate research. The climate
debate is convoluted and polarized as a result, and climate policy complex.
Climate policy should become easier and more rational as the Paris Agreement
has shifted climate policy back towards national governments. Changing
political priorities, austerity, and a maturing bureaucracy should lead to a
more constructive climate debate.
",arXiv,102,False
Baumol's Climate Disease,"
Fangzhi Wang
, 
Hua Liao
, 
Richard S. J. Tol
",2023,"  We investigate optimal carbon abatement in a dynamic general equilibrium
climate-economy model with endogenous structural change. By differentiating the
production of investment from consumption, we show that social cost of carbon
can be conceived as a reduction in physical capital. In addition, we
distinguish two final sectors in terms of productivity growth and climate
vulnerability. We theoretically show that heterogeneous climate vulnerability
results in a climate-induced version of Baumol's cost disease. Further, if
climate-vulnerable sectors have high (low) productivity growth, climate impact
can either ameliorate (aggravate) the Baumol's cost disease, call for less
(more) stringent climate policy. We conclude that carbon abatement should not
only factor in unpriced climate capital, but also be tailored to Baumol's cost
and climate diseases.
",arXiv,120,False
You are right. I am ALARMED -- But by Climate Change Counter Movement,"
Shraey Bhatia
, 
Jey Han Lau
, 
Timothy Baldwin
",2020,"  The world is facing the challenge of climate crisis. Despite the consensus in
scientific community about anthropogenic global warming, the web is flooded
with articles spreading climate misinformation. These articles are carefully
constructed by climate change counter movement (cccm) organizations to
influence the narrative around climate change. We revisit the literature on
climate misinformation in social sciences and repackage it to introduce in the
community of NLP. Despite considerable work in detection of fake news, there is
no misinformation dataset available that is specific to the domain.of climate
change. We try to bridge this gap by scraping and releasing articles with known
climate change misinformation.
",arXiv,105,False
Climate Change Conspiracy Theories on Social Media,"
Aman Tyagi
, 
Kathleen M. Carley
",2021,"  One of the critical emerging challenges in climate change communication is
the prevalence of conspiracy theories. This paper discusses some of the major
conspiracy theories related to climate change found in a large Twitter corpus.
We use a state-of-the-art stance detection method to find whether conspiracy
theories are more popular among Disbelievers or Believers of climate change. We
then analyze which conspiracy theory is more popular than the others and how
popularity changes with climate change belief. We find that Disbelievers of
climate change are overwhelmingly responsible for sharing messages with
conspiracy theory-related keywords, and not all conspiracy theories are equally
shared. Lastly, we discuss the implications of our findings for climate change
communication.
",arXiv,114,False
Hurricanes Increase Climate Change Conversations on Twitter,"
Maddalena Torricelli
, 
Max Falkenberg
, 
Alessandro Galeazzi
, 
Fabiana Zollo
, 
Walter Quattrociocchi
, 
Andrea Baronchelli
",2023,"  The public understanding of climate change plays a critical role in
translating climate science into climate action. In the public discourse,
climate impacts are often discussed in the context of extreme weather events.
Here, we analyse 65 million Twitter posts and 240 thousand news media articles
related to 18 major hurricanes from 2010 to 2022 to clarify how hurricanes
impact the public discussion around climate change. First, we analyse news
content and show that climate change is the most prominent non-hurricane
specific topic discussed by the news media in relation to hurricanes. Second,
we perform a comparative analysis between reliable and questionable news media
outlets, finding that the language around climate change varies between news
media providers. Finally, using geolocated data, we show that accounts in
regions affected by hurricanes discuss climate change at a significantly higher
rate than accounts in unaffected areas, with references to climate change
increasing by, on average, 80% after impact, and up to 200% for the largest
hurricanes. Our findings demonstrate how hurricanes have a key impact on the
public awareness of climate change.
",arXiv,179,False
"Trend and Thoughts: Understanding Climate Change Concern using Machine
  Learning and Social Media Data","
Zhongkai Shangguan
, 
Zihe Zheng
, 
Lei Lin
",2021,"  Nowadays social media platforms such as Twitter provide a great opportunity
to understand public opinion of climate change compared to traditional survey
methods. In this paper, we constructed a massive climate change Twitter dataset
and conducted comprehensive analysis using machine learning. By conducting
topic modeling and natural language processing, we show the relationship
between the number of tweets about climate change and major climate events; the
common topics people discuss climate change; and the trend of sentiment. Our
dataset was published on Kaggle
(\url{https://www.kaggle.com/leonshangguan/climate-change-tweets-ids-until-aug-2021})
and can be used in further research.
",arXiv,91,False
Financial climate risk: a review of recent advances and key challenges,"
Victor Cardenas
",2024,"  The document provides an overview of financial climate risks. It delves into
how climate change impacts the global financial system, distinguishing between
physical risks (such as extreme weather events) and transition risks (stemming
from policy changes and economic transitions towards low carbon technologies).
The paper underlines the complexity of accurately defining financial climate
risk, citing the integration of climate science with financial risk analysis as
a significant challenge. The paper highlights the pivotal role of microfinance
institutions (MFIs) in addressing financial climate risk, especially for
populations vulnerable to climate change. The document emphasizes the
importance of updating risk management practices within MFIs to explicitly
include climate risk assessments and suggests leveraging technology to improve
these practices.
",arXiv,116,False
"What shapes climate change perceptions in Africa? A random forest
  approach","
Juan B Gonzalez
, 
Alfonso Sanchez
",2021,"  Climate change perceptions are fundamental for adaptation and environmental
policy support. Although Africa is one of the most vulnerable regions to
climate change, little research has focused on how climate change is perceived
in the continent. Using random forest methodology, we analyse Afrobarometer
data (N = 45,732), joint with climatic data, to explore what shapes climate
change perceptions in Africa. We include 5 different dimensions of climate
change perceptions: awareness, belief in its human cause, risk perception, need
to stop it and self-efficacy. Results indicate that perceived agriculture
conditions are crucial for perceiving climate change. Country-level factors and
long-term changes in local weather conditions are among the most important
predictors. Moreover, education level, access to information, poverty,
authoritarian values, and trust in institutions shape individual climate change
perceptions. Demographic effects -- including religion -- seem negligible.
These findings suggest policymakers and environmental communicators how to
frame climate change in Africa to raise awareness, gather public support and
induce adaptation.
",arXiv,159,False
A Climate Change Vulnerability Assessment Framework: A Spatial Approach,"
Claudia Cáceres
, 
Yan Li
, 
Brian Hilton
",2021,"  Climate change is affecting every known society, especially for small farmers
in Low-Income Countries because they depend heavily on rain, seasonality
patterns, and known temperature ranges. To build climate change resilient
communities among rural farmers, the first step is to understand the impact of
climate change on the population. This paper proposes a Climate Change
Vulnerability Assessment Framework (CCVAF) to assess climate change
vulnerabilities among rural farmers. The CCVAF framework uses information and
communication technology (ICT) to assess climate change vulnerabilities among
rural farmers by integrating both community level and individual household
level indicators. The CCVAF was instantiated into a GIS-based web application
named THRIVE for different decision-makers to better assess how climate change
is affecting rural farmers in Western Honduras. Qualitative evaluation of the
THRIVE showed that it is an innovative and useful tool. The CCVAF contributes
to not only the knowledge base of the climate change vulnerability assessment
but also the design science literature by providing guidelines to design a
class of climate change vulnerability assessment solutions.
",arXiv,169,False
"Indexing and Visualization of Climate Change Narratives Using BERT and
  Causal Extraction","
Hiroki Sakaji
, 
Noriyasu Kaneda
",2024,"  In this study, we propose a methodology to extract, index, and visualize
``climate change narratives'' (stories about the connection between causal and
consequential events related to climate change). We use two natural language
processing methods, BERT (Bidirectional Encoder Representations from
Transformers) and causal extraction, to textually analyze newspaper articles on
climate change to extract ``climate change narratives.'' The novelty of the
methodology could extract and quantify the causal relationships assumed by the
newspaper's writers. Looking at the extracted climate change narratives over
time, we find that since 2018, an increasing number of narratives suggest the
impact of the development of climate change policy discussion and the
implementation of climate change-related policies on corporate behaviors,
macroeconomics, and price dynamics. We also observed the recent emergence of
narratives focusing on the linkages between climate change-related policies and
monetary policy. Furthermore, there is a growing awareness of the negative
impacts of natural disasters (e.g., abnormal weather and severe floods) related
to climate change on economic activities, and this issue might be perceived as
a new challenge for companies and governments. The methodology of this study is
expected to be applied to a wide range of fields, as it can analyze causal
relationships among various economic topics, including analysis of inflation
expectation or monetary policy communication strategy.
",arXiv,213,False
