title,author,year,source,category
"Volume 14 Issue 11, November 2024",Unknown,2024,https://www.nature.com/nclimate/volumes/14/issues/11,science_media
Perceived climate justice,Unknown,2024,https://www.nature.com/articles/s41558-024-02184-y,science_media
Advances in attribution,Unknown,2024,https://www.nature.com/articles/s41558-024-02189-7,science_media
Global burned area increasingly explained by climate change,Unknown,2024,https://www.nature.com/articles/s41558-024-02140-w,science_media
Attributing human mortality from fire PM2.5 to climate change,Unknown,2024,https://www.nature.com/articles/s41558-024-02149-1,science_media
Extreme heat disproportionately exacerbates health issues by threatening fresh food supply,Unknown,2024,https://www.nature.com/articles/s41558-024-02172-2,science_media
A framework for ageing and health vulnerabilities in a changing climate,Unknown,2024,https://www.nature.com/articles/s41558-024-02156-2,science_media
Underestimation of personal carbon footprint inequality in four diverse countries,Unknown,2024,https://www.nature.com/articles/s41558-024-02130-y,science_media
Climate justice beliefs related to climate action and policy support around the world,Unknown,2024,https://www.nature.com/articles/s41558-024-02168-y,science_media
Increasing aerosol emissions from boreal biomass burning exacerbate Arctic warming,Unknown,2024,https://www.nature.com/articles/s41558-024-02176-y,science_media
Internet image search outputs propagate climate change sentiment and impact policy support,Unknown,2024,https://www.nature.com/articles/s41558-024-02178-w,science_media
Emergence of a climate oscillation in the Arctic Ocean due to global warming,Unknown,2024,https://www.nature.com/articles/s41558-024-02171-3,science_media
Mapping the global variation in the efficiency of ocean alkalinity enhancement for carbon dioxide removal,Unknown,2024,https://www.nature.com/articles/s41558-024-02179-9,science_media
Conventional agriculture increases global warming while decreasing system sustainability,Unknown,2024,https://www.nature.com/articles/s41558-024-02170-4,science_media
Waning snowfields have transformed into hotspots of greening within the alpine zone,Unknown,2024,https://www.nature.com/articles/s41558-024-02177-x,science_media
Impact of climate change on vaccine responses and inequity,Unknown,2024,https://www.nature.com/articles/s41558-024-02192-y,science_media
Return the burn,Unknown,2024,https://www.nature.com/articles/s41558-024-02188-8,science_media
Public attention and the Amazon,Unknown,2024,https://www.nature.com/articles/s41558-024-02186-w,science_media
Climate defines salamander adult form,Unknown,2024,https://www.nature.com/articles/s41558-024-02187-9,science_media
Phytoplankton influence on upwelling,Unknown,2024,https://www.nature.com/articles/s41558-024-02185-x,science_media
Rapid increases and extreme months in projections of United States high-tide flooding,Unknown,2021,http://dx.doi.org/10.1038/s41558-021-01077-8,science_media
Globally representative evidence on the actual and perceived support for climate action,Unknown,2024,http://dx.doi.org/10.1038/s41558-024-01925-3,science_media
The case for systems thinking about climate change and mental health,Unknown,2018,http://dx.doi.org/10.1038/s41558-018-0102-4,science_media
A typology of loss and damage perspectives,Unknown,2017,http://dx.doi.org/10.1038/nclimate3389,science_media
Climate Change Is Altering Animals' Colors,Marta Zaraska,2024,https://www.scientificamerican.com/article/climate-change-is-altering-animals-colors/,science_media
An Off Day in Brooklyn—And on Uranus,"Rachel Feltman, Andrea Thompson, Alec Luhn, Fonda Mwangi, Madison Goldberg",2024,https://www.scientificamerican.com/podcast/episode/drought-across-the-u-s-h5n1-in-canada-and-uranus-data-reevaluated/,science_media
Climate and Conservation Ballot Measures Approved Even in Places Trump Won,"Avery Ellfeldt, E&E News",2024,https://www.scientificamerican.com/article/some-counties-voted-for-trump-and-approved-climate-and-conservation-measures/,science_media
Melting Glaciers Are Causing Billions of Dollars of Damage,Alec Luhn,2024,https://www.scientificamerican.com/article/melting-glaciers-are-causing-billions-of-dollars-of-damage/,science_media
"Kristi Noem, Set to Oversee Disaster Agency, Has Rejected Climate Science","Thomas Frank, Avery Ellfeldt, E&E News",2024,https://www.scientificamerican.com/article/kristi-noem-trumps-nominee-for-leader-of-the-department-of-homeland-security/,science_media
How I Overcame Solastalgia,Queen Essang,2024,https://www.scientificamerican.com/article/how-to-overcome-solastalgia-the-feeling-of-profound-loss-of-your-environment/,science_media
Insights into Insects with an Entomologist,"Rachel Feltman, Fonda Mwangi, Madison Goldberg",2024,https://www.scientificamerican.com/podcast/episode/insects-played-pivotal-roles-in-the-evolution-of-human-culture/,science_media
Methane Leaks Are Everywhere. The Trump Administration May Repeal Penalty Meant to Reduce Them,"Jean Chemnick, E&E News",2024,https://www.scientificamerican.com/article/trump-administration-likely-to-repeal-methane-leak-penalty/,science_media
Mud Bath Really Does Make Baseballs Easier to Grip,"Rachel Feltman, Jeffery DelViscio, Anaissa Ruiz Tejada",2024,https://www.scientificamerican.com/podcast/episode/water-under-threat-wooden-satellites-and-a-mud-bath-for-baseballs/,science_media
What Trump Can—And Probably Can’t—Do to Reverse U.S. Climate Policy,"Gautam Jain, The Conversation US",2024,https://www.scientificamerican.com/article/what-trump-can-and-probably-cant-do-to-reverse-u-s-climate-policy/,science_media
Let African Communities Manage Their Climate Adaptation Plans,Kennedy Odede,2024,https://www.scientificamerican.com/article/let-african-communities-manage-their-climate-adaptation-plans/,science_media
Earth Will Exceed 1.5 Degrees Celsius of Warming This Year,Andrea Thompson,2024,https://www.scientificamerican.com/article/2024-will-be-the-first-year-to-exceed-the-1-5-degree-celsius-warming/,science_media
